,sample_number,site,sample_design,X,Y,Z,x,y,u,v,L,a,b,h,c,R,G,B
51,35,Agriculture,Grid,24.74529862,21.43221782,5.786682032,0.476198986,0.412441998,9.214942824,4.353395557,53.41932088,3.822700968,10.12672912,1.209847717,10.82421754,136.9815113,124.8223795,109.9807078
52,36,Agriculture,Grid,30.15852679,26.2658776,7.308381737,0.473202705,0.412125049,8.692815445,4.315648086,58.28856361,3.492168512,9.655242969,1.223748774,10.26737346,148.9948662,137.5517797,123.0201267
53,37,Agriculture,Grid,22.60536864,19.74094772,5.728896552,0.470208394,0.410626319,6.849332912,3.13232661,51.54304805,2.909860311,7.257689176,1.189484329,7.819292756,129.9093367,120.7380031,110.3125615
54,38,Agriculture,Grid,20.82892869,18.16955823,5.235317925,0.470882592,0.410761821,6.847026149,3.119579653,49.70112084,2.935675874,7.312545979,1.189034181,7.879817354,125.2614959,116.0839014,105.6564242
55,39,Agriculture,Grid,19.68493574,17.12630606,4.850752504,0.472491441,0.411077442,7.236205645,3.267807228,48.41878898,3.125625322,7.762479041,1.188000558,8.368130885,122.4340897,112.7389687,101.7350844
56,40,Agriculture,Grid,21.12104002,18.3362167,5.130855909,0.473692174,0.411235543,7.916349404,3.524757995,49.90138878,3.403839928,8.367362269,1.184441973,9.033209706,126.8260281,116.245783,104.3487705
57,41,Agriculture,Fine scale,21.01568683,18.18871477,4.949184611,0.475967835,0.411941958,8.631437686,3.907817768,49.72420275,3.688816618,9.319110811,1.193886878,10.0226341,127.070972,115.5940299,102.2690961
58,41,Agriculture,Grid,21.01568683,18.18871477,4.949184611,0.475967835,0.411941958,8.631437686,3.907817768,49.72420275,3.688816618,9.319110811,1.193886878,10.0226341,127.070972,115.5940299,102.2690961
59,42,Agriculture,Grid,22.30676335,19.36426562,5.352757295,0.474371911,0.411797245,8.227895237,3.819701039,51.11068417,3.473032714,8.956337137,1.200874022,9.606140284,130.1658091,119.2370831,106.2986859
60,43,Agriculture,Grid,27.01918286,23.58725226,6.73510971,0.471197331,0.411346648,7.621693205,3.689269366,55.67215121,3.123975787,8.32539933,1.211820217,8.892215626,141.1924889,131.0885711,118.7664085
61,44,Agriculture,Grid,21.81478282,18.96296069,5.273739392,0.473704242,0.411777417,7.87330819,3.713263352,50.64384374,3.317085053,8.679339123,1.205744238,9.291608088,128.634509,118.175981,105.6167595
62,45,Agriculture,Grid,15.88968917,13.77889756,3.83781588,0.474228444,0.411231779,7.166586843,3.147462598,43.91416066,3.193980474,7.754722248,1.180094514,8.386729303,111.218032,101.5525435,90.82003949
63,46,Agriculture,Grid,18.99279914,16.41222407,4.431811089,0.47676477,0.411986152,8.554457966,3.818837243,47.51073446,3.709351371,9.260851667,1.189823603,9.97610451,121.4599754,110.0550209,96.96511817
64,47,Agriculture,Grid,17.83560931,15.34532992,4.044316006,0.479126582,0.412229005,9.153646562,3.975491834,46.10359379,4.021068298,9.845792425,1.183065548,10.63525358,118.5529456,106.3417461,92.57369873
65,48,Agriculture,Grid,26.49823506,22.96042942,6.206459239,0.476029393,0.412474237,9.403494892,4.475068503,55.03155539,3.86658852,10.31876731,1.212276254,11.01941312,141.2883996,128.8985339,113.6628873
66,49,Agriculture,Grid,28.23645768,24.54955474,6.775843313,0.474069475,0.412169071,8.845105009,4.302019244,56.63387191,3.596231801,9.751668721,1.217488897,10.39364835,144.8654519,133.207472,118.6750395
67,50,Agriculture,Fine scale,22.94137245,19.98398425,5.654885332,0.472236685,0.411360327,7.544467574,3.543442544,51.81909896,3.169704508,8.205909835,1.202181083,8.796816634,131.2865323,121.2469064,109.3475968
68,51,Agriculture,Fine scale,20.81697515,18.08231381,5.039039125,0.473777134,0.411538504,7.812540946,3.585344023,49.59579348,3.334926757,8.472107817,1.195788154,9.104852956,125.9453517,115.5306574,103.4031785
69,52,Agriculture,Fine scale,20.22000441,17.55663892,4.895935704,0.473840693,0.411426713,7.770821971,3.518176291,48.95388245,3.34061427,8.365295672,1.190857282,9.007656487,124.2981712,113.9196317,102.0154236
70,54,Agriculture,Fine scale,22.74705486,19.77803729,5.530131138,0.473352391,0.41156894,7.931411462,3.693717174,51.58532185,3.340703509,8.608326782,1.200609467,9.233828562,131.0764723,120.5311902,108.0742954
71,55,Agriculture,Fine scale,24.07396526,20.882909,5.695893456,0.475274429,0.412275774,8.752688417,4.165402117,52.82110709,3.635545032,9.671328759,1.211228464,10.33207567,135.0063375,123.4423759,109.2842452
72,56,Agriculture,Fine scale,24.33644829,21.10460638,5.730535899,0.475585144,0.412428188,8.88307498,4.256633341,53.06379012,3.676885317,9.86924364,1.214166557,10.53192554,135.7479679,124.0277932,109.5386961
73,57,Agriculture,Fine scale,22.87750365,19.97109733,5.73874442,0.47085313,0.411034955,7.038800389,3.318356883,51.80451783,2.9580814,7.64596641,1.20165008,8.198234439,130.7499428,121.3643722,110.2796077
74,58,Agriculture,Fine scale,21.3905072,18.64452021,5.304370236,0.471786312,0.411221171,7.169768202,3.358424004,50.26869117,3.037978137,7.827265377,1.200566443,8.39615355,127.0001516,117.435373,106.1623327
75,59,Agriculture,Fine scale,21.28562776,18.55702143,5.294429106,0.471577438,0.411125889,7.095288202,3.307323204,50.1648622,3.012938047,7.714779153,1.198470707,8.28224686,126.6667087,117.1925187,106.1014291
76,61,Agriculture,Fine scale,19.81585429,17.29143977,4.96430678,0.471003097,0.411000281,6.678508428,3.120746879,48.62517141,2.857160319,7.318414879,1.198587043,7.856370754,122.3884245,113.4485441,102.987355
77,62,Agriculture,Fine scale,22.80489388,19.89383226,5.671089653,0.471469521,0.411286087,7.217835386,3.439456516,51.71696311,3.022814514,7.926061861,1.206446967,8.48291602,130.7012984,121.0963011,109.5726593
78,63,Agriculture,Fine scale,22.50808213,19.62845248,5.590523177,0.471600035,0.411264666,7.238885122,3.427128848,51.41450389,3.041499001,7.922393048,1.204235683,8.486166848,129.9582332,120.3187212,108.8307179
79,64,Agriculture,Fine scale,23.65053884,20.51874196,5.648704031,0.474738971,0.411874186,8.576536349,3.975163763,52.41871279,3.599092182,9.279356114,1.20079897,9.952884729,133.8222089,122.4486745,108.9800861
80,65,Agriculture,Fine scale,23.44520347,20.33510131,5.594747902,0.474839057,0.411849714,8.594920479,3.963669349,52.2139873,3.615131302,9.273536641,1.199085149,9.953273641,133.3218127,121.9185293,108.4845401
81,66,Agriculture,Fine scale,21.27876206,18.45687872,5.08977909,0.474703017,0.41175027,8.210637144,3.761224219,50.04562821,3.495887276,8.89769073,1.196427085,9.559818417,127.4663661,116.5414609,103.7789141
82,68,Agriculture,Fine scale,25.33067746,21.99183361,6.041620475,0.474676093,0.412108901,8.732813456,4.151955589,54.01833881,3.611746638,9.573631564,1.210045907,10.23225953,138.0429137,126.5024586,112.437315
83,69,Agriculture,Fine scale,24.10718853,20.9241025,5.743924082,0.474782598,0.412092838,8.599247464,4.070341306,52.86632939,3.578690756,9.443814503,1.208571106,10.09914154,134.9748436,123.5987458,109.7957707
84,70,Agriculture,Fine scale,22.75838324,19.72748307,5.385365337,0.47540835,0.412094747,8.653165437,4.031303119,51.52768826,3.638030532,9.458977563,1.203625971,10.134472,131.6333581,120.1678691,106.4578545
85,71,Agriculture,Likely to erode,28.38936861,24.5887535,6.525285447,0.477104922,0.413232696,9.937464264,4.938657023,56.67251,4.000294059,11.25960067,1.229426817,11.9490987,146.0095427,133.0061898,116.0926923
86,72,Agriculture,Likely to erode,21.44983522,18.42484231,4.71766277,0.481020621,0.413184017,10.43721225,4.732321105,50.00739331,4.430905776,11.45501189,1.201712656,12.28210989,129.5154987,115.7581889,99.28015493
87,73,Agriculture,Likely to erode,26.25451134,22.75750849,6.105765813,0.476334654,0.412888657,9.371089336,4.602070075,54.82168038,3.817746705,10.5667268,1.224091352,11.23525278,140.7042377,128.3998764,112.6849065
88,74,Agriculture,Likely to erode,27.66404175,23.81008968,5.992718681,0.481391301,0.414327384,11.45014035,5.641300217,55.89714851,4.617247511,13.11365335,1.232256648,13.90276515,145.4497789,130.5531987,110.8716072
89,75,Agriculture,Likely to erode,23.87711788,20.51049264,5.142823255,0.48206963,0.414098789,11.10917729,5.301360504,52.40954258,4.588853265,12.60999514,1.221787172,13.41899965,136.2088898,121.6933573,103.1346101
90,76,Agriculture,Likely to erode,25.07878889,21.53966286,5.393641375,0.482172268,0.414127976,11.38459024,5.433651639,53.535133,4.678806082,12.86532232,1.221990514,13.68969484,139.3396697,124.4795959,105.4650431
91,77,Agriculture,Likely to erode,26.62923676,22.97277618,5.921544832,0.479602494,0.413748274,10.63920722,5.206088457,55.04428531,4.321797909,12.08378117,1.227320222,12.83338243,142.4903312,128.5926461,110.5706235
92,78,Agriculture,Likely to erode,26.20534458,22.66361817,5.914823298,0.478341248,0.413692076,10.0137866,5.024738246,54.72415014,4.045075019,11.57361382,1.234559543,12.26014555,141.0597652,127.982756,110.6566059
93,101,Forest,Grid,28.38820689,24.29046777,6.18242364,0.482291492,0.412674389,12.54965596,5.336700945,56.37745066,5.267774184,12.78423644,1.179943396,13.82700785,147.8080455,131.2849182,112.7603135
94,101,Forest,Transect,28.38820689,24.29046777,6.18242364,0.482291492,0.412674389,12.54965596,5.336700945,56.37745066,5.267774184,12.78423644,1.179943396,13.82700785,147.8080455,131.2849182,112.7603135
95,102,Forest,Grid,16.19321837,13.71313725,3.470093309,0.485169001,0.41086268,11.31740969,4.009511844,43.81869444,5.25971315,10.74471743,1.115570885,11.96300694,115.0659418,99.81343825,85.69785654
96,102,Forest,Transect,16.19321837,13.71313725,3.470093309,0.485169001,0.41086268,11.31740969,4.009511844,43.81869444,5.25971315,10.74471743,1.115570885,11.96300694,115.0659418,99.81343825,85.69785654
97,103,Forest,Grid,14.97473605,12.6271604,3.166768946,0.486687864,0.410390254,11.56931904,3.890545668,42.19601158,5.482142676,10.7214671,1.098130669,12.04175009,111.358738,95.6960834,81.916561
98,103,Forest,Transect,14.97473605,12.6271604,3.166768946,0.486687864,0.410390254,11.56931904,3.890545668,42.19601158,5.482142676,10.7214671,1.098130669,12.04175009,111.358738,95.6960834,81.916561
99,104,Forest,Grid,18.27474722,15.43063322,3.789975353,0.487386953,0.411534519,12.61545797,4.584581057,46.21845731,5.737864717,12.12631832,1.128838481,13.41531541,122.1934626,105.351564,89.09903478
100,104,Forest,Transect,18.27474722,15.43063322,3.789975353,0.487386953,0.411534519,12.61545797,4.584581057,46.21845731,5.737864717,12.12631832,1.128838481,13.41531541,122.1934626,105.351564,89.09903478
101,105,Forest,Grid,13.7045947,11.52719729,2.887151988,0.487379423,0.409944175,11.44420202,3.696998136,40.45458658,5.52602015,10.43831931,1.083908237,11.81081745,107.0353533,91.45355469,78.30519192
102,105,Forest,Transect,13.7045947,11.52719729,2.887151988,0.487379423,0.409944175,11.44420202,3.696998136,40.45458658,5.52602015,10.43831931,1.083908237,11.81081745,107.0353533,91.45355469,78.30519192
103,106,Forest,Grid,19.30202991,16.18037479,3.834263114,0.490937584,0.41153983,14.31298214,5.017406647,47.210251,6.502272348,13.46712874,1.120982526,14.95470167,126.2484431,107.2245591,89.23628346
104,106,Forest,Transect,19.30202991,16.18037479,3.834263114,0.490937584,0.41153983,14.31298214,5.017406647,47.210251,6.502272348,13.46712874,1.120982526,14.95470167,126.2484431,107.2245591,89.23628346
105,107,Forest,Grid,13.57088143,11.45681843,2.93609679,0.485301821,0.409701822,10.75776365,3.471778761,40.33945818,5.21024032,9.751526024,1.08008671,11.05616859,106.1085551,91.40814928,79.16177556
106,107,Forest,Transect,13.57088143,11.45681843,2.93609679,0.485301821,0.409701822,10.75776365,3.471778761,40.33945818,5.21024032,9.751526024,1.08008671,11.05616859,106.1085551,91.40814928,79.16177556
107,108,Forest,Grid,29.58458076,25.15906005,5.91247673,0.487742737,0.414781906,14.63427533,6.620240318,57.23007177,5.988016275,15.90876514,1.210801188,16.99838661,151.9165425,132.925884,109.2946607
108,108,Forest,Transect,29.58458076,25.15906005,5.91247673,0.487742737,0.414781906,14.63427533,6.620240318,57.23007177,5.988016275,15.90876514,1.210801188,16.99838661,151.9165425,132.925884,109.2946607
109,109,Forest,Grid,29.60359177,25.21092171,5.958021097,0.48712123,0.414840715,14.32509072,6.571868836,57.28035487,5.840158052,15.71283915,1.214938955,16.76307729,151.7529876,133.169774,109.7567565
110,109,Forest,Transect,29.60359177,25.21092171,5.958021097,0.48712123,0.414840715,14.32509072,6.571868836,57.28035487,5.840158052,15.71283915,1.214938955,16.76307729,151.7529876,133.169774,109.7567565
111,110,Forest,Grid,29.70741762,25.37956998,6.068341852,0.485769889,0.41500177,13.65251092,6.481734081,57.44339465,5.513055169,15.31527693,1.225266441,16.27733039,151.5321028,133.8421144,110.843127
112,110,Forest,Transect,29.70741762,25.37956998,6.068341852,0.485769889,0.41500177,13.65251092,6.481734081,57.44339465,5.513055169,15.31527693,1.225266441,16.27733039,151.5321028,133.8421144,110.843127
113,111,Forest,Grid,19.83049025,16.7846372,4.139258569,0.486585425,0.411848609,12.67670065,4.757329946,47.98752448,5.67490538,12.33898822,1.139726431,13.58142781,126.6434281,109.7808607,92.97821326
114,111,Forest,Transect,19.83049025,16.7846372,4.139258569,0.486585425,0.411848609,12.67670065,4.757329946,47.98752448,5.67490538,12.33898822,1.139726431,13.58142781,126.6434281,109.7808607,92.97821326
115,112,Forest,Grid,19.86971231,16.84135428,4.227653371,0.485352554,0.411379601,12.33262423,4.536732947,48.05951701,5.550049228,11.77052773,1.13019049,13.01339193,126.5123404,110.0528204,94.13612296
116,112,Forest,Transect,19.86971231,16.84135428,4.227653371,0.485352554,0.411379601,12.33262423,4.536732947,48.05951701,5.550049228,11.77052773,1.13019049,13.01339193,126.5123404,110.0528204,94.13612296
117,113,Forest,Grid,15.40554148,12.90295439,3.13178024,0.489993836,0.410395708,12.885841,4.210735826,42.61665659,6.10389031,11.77798897,1.092659052,13.26568887,113.6265244,96.25434904,81.17874193
118,113,Forest,Transect,15.40554148,12.90295439,3.13178024,0.489993836,0.410395708,12.885841,4.210735826,42.61665659,6.10389031,11.77798897,1.092659052,13.26568887,113.6265244,96.25434904,81.17874193
119,114,Forest,Grid,16.2145773,13.63753695,3.355887245,0.488273204,0.41067021,12.49804886,4.227757327,43.70856531,5.850033018,11.57974279,1.103001025,12.97356271,115.9230215,99.10454025,84.07231149
120,114,Forest,Transect,16.2145773,13.63753695,3.355887245,0.488273204,0.41067021,12.49804886,4.227757327,43.70856531,5.850033018,11.57974279,1.103001025,12.97356271,115.9230215,99.10454025,84.07231149
121,115,Forest,Grid,25.19437145,21.27532327,5.041160601,0.489108,0.413026014,14.81605243,5.850913467,53.24951112,6.376854364,14.75694052,1.162905599,16.07580683,141.9087221,122.4571862,101.596697
122,116,Forest,Grid,12.99613004,10.93487589,2.719760978,0.487645631,0.410302485,11.16636828,3.697410118,39.47056745,5.402998269,10.4546496,1.093796556,11.76826617,104.3939265,89.1807279,75.95795179
123,117,Forest,Grid,10.39843306,8.690384316,2.131433587,0.490024038,0.409532589,10.90111979,3.348096696,35.38120874,5.514345096,10.05151969,1.069022383,11.4647743,94.46087744,79.38927739,67.19946198
124,118,Forest,Grid,23.51038289,19.93346759,4.740116079,0.487929587,0.413695032,13.66792251,5.73454832,51.76190507,5.839327792,14.31791242,1.183555019,15.46287053,137.0203374,119.1103456,98.66067748
125,119,Forest,Grid,17.51481043,14.87573447,3.76780124,0.484391912,0.411405279,11.28783773,4.210770621,45.46352469,5.141096767,11.01063292,1.13396026,12.15174527,119.0669572,103.9366698,89.15284449
126,120,Forest,Grid,17.05062455,14.36284827,3.549287061,0.487679594,0.410804191,12.53119859,4.304939275,44.74886666,5.814284345,11.65090009,1.107915696,13.02111267,118.5059278,101.6773039,86.42121974
127,121,Forest,Grid,9.800814163,8.173440854,2.00666806,0.490508578,0.409062225,10.8261535,3.203438775,34.34151686,5.561275227,9.822268453,1.055607811,11.28737081,91.97089461,76.91680294,65.21416155
128,122,Forest,Grid,21.95221529,18.73442796,4.837306789,0.482212446,0.411529051,11.53604925,4.478660128,50.37504087,5.08464582,11.23086466,1.145667323,12.32825796,131.5579084,116.1877587,100.6663552
129,123,Forest,Grid,21.59354626,18.31111457,4.46876195,0.486632423,0.412659502,12.94176211,5.145911627,49.87130223,5.661368382,13.05297717,1.161560999,14.22783557,131.5915701,114.4924145,96.28192173
130,124,Forest,Grid,20.79946242,17.60973769,4.366714219,0.486242381,0.411674139,12.85971632,4.784474819,49.0192993,5.739570604,12.35504373,1.135906382,13.62313387,129.4055586,112.3011844,95.45899083
131,125,Forest,Grid,29.10151658,24.79138561,5.895052649,0.486745477,0.414655187,14.10749264,6.431682093,56.87159176,5.772996077,15.39920335,1.21212274,16.44575774,150.4958127,132.1703656,109.3024035
132,126,Forest,Grid,23.76203636,20.03915519,4.65236626,0.490408495,0.413574484,14.8301014,5.972591009,51.88145232,6.383226731,15.16055147,1.172283034,16.44955636,138.4163208,118.9948237,97.52010289
133,127,Forest,Grid,23.70182931,20.16860247,5.038142183,0.484615015,0.412373554,12.70291713,5.087854944,52.02730371,5.501833532,12.67057486,1.16114115,13.81353102,136.8264953,120.0337395,102.213584
134,128,Forest,Grid,14.64490897,12.35903107,3.133283839,0.485940876,0.410091889,11.26770002,3.729058874,41.78114326,5.374463703,10.32316213,1.090787673,11.63840781,110.0719644,94.76929973,81.60464698
